# BUSCO version is: 5.5.0 
# The lineage dataset is: insecta_odb10 (Creation date: 2024-01-08, number of genomes: 75, number of BUSCOs: 1367)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
6568at50557	Complete	scaffold_2:60550094-60615179	60550094	60615179	+	1529.9	1026	https://v10-1.orthodb.org/?query=6568at50557	TATA-binding protein interacting (TIP20)
7053at50557	Complete	scaffold_15:28486698-28505928	28486698	28505928	+	469.8	412	https://v10-1.orthodb.org/?query=7053at50557	Transmembrane protein family 132, middle domain
7307at50557	Complete	scaffold_11:125511352-125585311	125511352	125585311	+	1297.3	785	https://v10-1.orthodb.org/?query=7307at50557	Aminoacyl-tRNA synthetase, class Ia
7320at50557	Complete	scaffold_8:8666368-8517021	8666368	8517021	-	1142.2	781	https://v10-1.orthodb.org/?query=7320at50557	JNK-interacting protein 3 isoform X1
7376at50557	Complete	scaffold_2:57076844-56873054	57076844	56873054	-	1725.4	1057	https://v10-1.orthodb.org/?query=7376at50557	Leucine-rich repeat
7426at50557	Complete	scaffold_4:172459397-172455510	172459397	172455510	-	1207.8	755	https://v10-1.orthodb.org/?query=7426at50557	DNA mitochondrial polymerase, exonuclease domain
7704at50557	Complete	scaffold_3:131115743-131048290	131115743	131048290	-	1115.5	965	https://v10-1.orthodb.org/?query=7704at50557	Rapamycin-insensitive companion of mTOR, domain 4
7835at50557	Complete	scaffold_10:97610332-97755379	97610332	97755379	+	1057.3	705	https://v10-1.orthodb.org/?query=7835at50557	MIF4G-like domain superfamily
7968at50557	Complete	scaffold_10:90272937-90205224	90272937	90205224	-	845.6	705	https://v10-1.orthodb.org/?query=7968at50557	WASH complex subunit 7, central domain
8280at50557	Complete	scaffold_16:112102702-112009308	112102702	112009308	-	1601.8	1128	https://v10-1.orthodb.org/?query=8280at50557	Leucine-rich repeat
8312at50557	Complete	scaffold_11:81015422-80945465	81015422	80945465	-	654.8	690	https://v10-1.orthodb.org/?query=8312at50557	Elongator complex protein 1
8417at50557	Complete	scaffold_9:76345011-76414234	76345011	76414234	+	1260.8	815	https://v10-1.orthodb.org/?query=8417at50557	Integrator complex subunit 2
8547at50557	Complete	scaffold_2:216176525-216253046	216176525	216253046	+	657.3	662	https://v10-1.orthodb.org/?query=8547at50557	Protein kinase domain
8602at50557	Complete	scaffold_10:16932147-17042006	16932147	17042006	+	1143.8	695	https://v10-1.orthodb.org/?query=8602at50557	PAN/Apple domain
8655at50557	Complete	scaffold_16:60156214-60222223	60156214	60222223	+	1371.1	953	https://v10-1.orthodb.org/?query=8655at50557	Sec7 domain
8717at50557	Complete	scaffold_4:197452791-197353268	197452791	197353268	-	1875.9	1022	https://v10-1.orthodb.org/?query=8717at50557	Ras guanine-nucleotide exchange factors catalytic domain
8721at50557	Complete	scaffold_12:142689596-142644121	142689596	142644121	-	1141.5	884	https://v10-1.orthodb.org/?query=8721at50557	Cysteine-rich Golgi apparatus protein 1 repeat
8842at50557	Complete	scaffold_6:141113263-141049395	141113263	141049395	-	1241.9	898	https://v10-1.orthodb.org/?query=8842at50557	P-type ATPase, cytoplasmic domain N
9432at50557	Complete	scaffold_2:146260824-146174740	146260824	146174740	-	1430.0	1259	https://v10-1.orthodb.org/?query=9432at50557	Integrator complex subunit 1
9680at50557	Complete	scaffold_3:182727483-182948356	182727483	182948356	+	896.5	659	https://v10-1.orthodb.org/?query=9680at50557	DOMON domain
9996at50557	Complete	scaffold_3:31764413-31691324	31764413	31691324	-	1442.4	865	https://v10-1.orthodb.org/?query=9996at50557	Exportin-1, C-terminal
10008at50557	Complete	scaffold_14:20005577-19928078	20005577	19928078	-	1357.1	934	https://v10-1.orthodb.org/?query=10008at50557	Pleckstrin homology domain
10268at50557	Complete	scaffold_6:103371581-103490596	103371581	103490596	+	1200.2	729	https://v10-1.orthodb.org/?query=10268at50557	Endonuclease/exonuclease/phosphatase
10394at50557	Complete	scaffold_6:11230748-11029974	11230748	11029974	-	735.1	722	https://v10-1.orthodb.org/?query=10394at50557	PDZ domain
10664at50557	Complete	scaffold_3:21050453-21125230	21050453	21125230	+	1632.9	927	https://v10-1.orthodb.org/?query=10664at50557	Importin repeat 4
10915at50557	Complete	scaffold_16:40976494-41009311	40976494	41009311	+	1431.3	954	https://v10-1.orthodb.org/?query=10915at50557	WD40 repeat
10998at50557	Complete	scaffold_5:66857660-67078858	66857660	67078858	+	406.9	269	https://v10-1.orthodb.org/?query=10998at50557	Dbl homology (DH) domain
11128at50557	Complete	scaffold_8:178172271-178288006	178172271	178288006	+	1114.4	671	https://v10-1.orthodb.org/?query=11128at50557	Formin, FH3 domain
11161at50557	Complete	scaffold_7:26471836-26555855	26471836	26555855	+	1356.5	856	https://v10-1.orthodb.org/?query=11161at50557	Importin-beta, N-terminal domain
11224at50557	Complete	scaffold_11:70682047-70755397	70682047	70755397	+	1142.6	618	https://v10-1.orthodb.org/?query=11224at50557	CUB domain
11473at50557	Complete	scaffold_1:68897542-68823620	68897542	68823620	-	438.3	287	https://v10-1.orthodb.org/?query=11473at50557	NHL repeat
11478at50557	Complete	scaffold_1:11547231-11485998	11547231	11485998	-	1314.7	920	https://v10-1.orthodb.org/?query=11478at50557	WD40-repeat-containing domain
11510at50557	Complete	scaffold_8:113350496-113764594	113350496	113764594	+	1967.4	1080	https://v10-1.orthodb.org/?query=11510at50557	Cyclic nucleotide-binding domain
11763at50557	Complete	scaffold_8:64508325-64554852	64508325	64554852	+	1548.5	843	https://v10-1.orthodb.org/?query=11763at50557	FACT complex subunit Spt16 domain
12010at50557	Complete	scaffold_2:67089638-66966242	67089638	66966242	-	786.7	586	https://v10-1.orthodb.org/?query=12010at50557	Vacuolar protein sorting-associated protein 54, C-terminal
12051at50557	Complete	scaffold_4:30029314-29933608	30029314	29933608	-	1412.3	748	https://v10-1.orthodb.org/?query=12051at50557	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
12236at50557	Complete	scaffold_11:121212717-121171445	121212717	121171445	-	1352.8	792	https://v10-1.orthodb.org/?query=12236at50557	Coatomer subunit beta
12466at50557	Complete	scaffold_2:136047783-136102319	136047783	136102319	+	1332.9	877	https://v10-1.orthodb.org/?query=12466at50557	RUN domain
12503at50557	Complete	scaffold_16:7588022-7401208	7588022	7401208	-	967.9	632	https://v10-1.orthodb.org/?query=12503at50557	Mediator complex subunit Med13, C-terminal
12555at50557	Complete	scaffold_19:18454829-18102309	18454829	18102309	-	682.9	540	https://v10-1.orthodb.org/?query=12555at50557	Ankyrin repeat
12735at50557	Complete	scaffold_16:120855526-120803491	120855526	120803491	-	633.0	337	https://v10-1.orthodb.org/?query=12735at50557	WD40 repeat
12821at50557	Complete	scaffold_7:20799656-20762124	20799656	20762124	-	707.0	504	https://v10-1.orthodb.org/?query=12821at50557	Cold shock domain
13112at50557	Complete	scaffold_15:71033702-71065910	71033702	71065910	+	631.6	366	https://v10-1.orthodb.org/?query=13112at50557	Toll/interleukin-1 receptor homology (TIR) domain
13158at50557	Complete	scaffold_2:39356767-39457169	39356767	39457169	+	1077.4	614	https://v10-1.orthodb.org/?query=13158at50557	Carboxylesterase, type B
13223at50557	Complete	scaffold_2:60402555-60478948	60402555	60478948	+	1003.1	569	https://v10-1.orthodb.org/?query=13223at50557	von Willebrand factor, type A
13553at50557	Complete	scaffold_9:178710702-178701549	178710702	178701549	-	1114.4	710	https://v10-1.orthodb.org/?query=13553at50557	WD40 repeat
13582at50557	Complete	scaffold_3:58972919-59042450	58972919	59042450	+	641.9	470	https://v10-1.orthodb.org/?query=13582at50557	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
13612at50557	Complete	scaffold_6:59120593-59077346	59120593	59077346	-	753.1	667	https://v10-1.orthodb.org/?query=13612at50557	XPG N-terminal
13625at50557	Complete	scaffold_4:164568975-164496866	164568975	164496866	-	1144.7	732	https://v10-1.orthodb.org/?query=13625at50557	WD40 repeat
13778at50557	Complete	scaffold_2:185871335-185874148	185871335	185874148	+	1172.4	744	https://v10-1.orthodb.org/?query=13778at50557	UNC-45/Cro1/She4, central domain
13828at50557	Complete	scaffold_5:18184931-18123440	18184931	18123440	-	968.2	559	https://v10-1.orthodb.org/?query=13828at50557	Peptidase S8/S53 domain
13892at50557	Complete	scaffold_4:42513642-42450060	42513642	42450060	-	1079.0	697	https://v10-1.orthodb.org/?query=13892at50557	Beta-N-acetylglucosaminidase
14125at50557	Complete	scaffold_5:121572040-121648927	121572040	121648927	+	542.7	594	https://v10-1.orthodb.org/?query=14125at50557	WW domain
14133at50557	Complete	scaffold_3:8582870-8550368	8582870	8550368	-	507.1	474	https://v10-1.orthodb.org/?query=14133at50557	Zinc finger C2H2-type
14335at50557	Complete	scaffold_5:11709488-11662415	11709488	11662415	-	893.6	661	https://v10-1.orthodb.org/?query=14335at50557	Exocyst complex component 2
14380at50557	Complete	scaffold_1:154119290-154284907	154119290	154284907	+	420.9	379	https://v10-1.orthodb.org/?query=14380at50557	EGF-like calcium-binding, conserved site
14512at50557	Complete	scaffold_11:13296520-13354883	13296520	13354883	+	592.7	444	https://v10-1.orthodb.org/?query=14512at50557	Katanin p80 WD40 repeat-containing subunit B1
14653at50557	Complete	scaffold_5:152643776-152698832	152643776	152698832	+	1201.3	836	https://v10-1.orthodb.org/?query=14653at50557	TRAPP II complex, Trs120
14825at50557	Complete	scaffold_12:131052524-131003078	131052524	131003078	-	470.1	487	https://v10-1.orthodb.org/?query=14825at50557	Saposin B type, region 2
15309at50557	Complete	scaffold_7:173044738-173094921	173044738	173094921	+	790.5	606	https://v10-1.orthodb.org/?query=15309at50557	Aminoacyl-tRNA synthetase, class II
15331at50557	Complete	scaffold_6:141798000-141839620	141798000	141839620	+	973.6	674	https://v10-1.orthodb.org/?query=15331at50557	CLEC16A/TT9, N-terminal
15341at50557	Complete	scaffold_15:85083283-84931258	85083283	84931258	-	482.6	227	https://v10-1.orthodb.org/?query=15341at50557	Dual specificity phosphatase, catalytic domain
15445at50557	Complete	scaffold_4:172198774-172169655	172198774	172169655	-	1281.1	723	https://v10-1.orthodb.org/?query=15445at50557	RNA cytidine acetyltransferase
15532at50557	Complete	scaffold_2:178107151-178154232	178107151	178154232	+	1217.7	726	https://v10-1.orthodb.org/?query=15532at50557	SAC domain
15573at50557	Complete	scaffold_4:173237046-173453059	173237046	173453059	+	431.1	347	https://v10-1.orthodb.org/?query=15573at50557	SH3 domain
15589at50557	Complete	scaffold_7:143646966-143612147	143646966	143612147	-	1336.5	701	https://v10-1.orthodb.org/?query=15589at50557	pre-mRNA-splicing factor SYF1
15684at50557	Complete	scaffold_4:24707637-24748204	24707637	24748204	+	1098.5	793	https://v10-1.orthodb.org/?query=15684at50557	DNA-directed RNA polymerase
15817at50557	Complete	scaffold_1:210345573-210294326	210345573	210294326	-	1486.9	791	https://v10-1.orthodb.org/?query=15817at50557	Ras GTPase-activating domain
15852at50557	Complete	scaffold_9:53164753-53167548	53164753	53167548	+	1531.7	779	https://v10-1.orthodb.org/?query=15852at50557	Pre-mRNA-processing factor 6
16156at50557	Complete	scaffold_1:27958955-27998406	27958955	27998406	+	634.6	599	https://v10-1.orthodb.org/?query=16156at50557	nuclear pore complex protein Nup107
16250at50557	Complete	scaffold_2:69043943-69098299	69043943	69098299	+	428.5	351	https://v10-1.orthodb.org/?query=16250at50557	NHL repeat
16279at50557	Complete	scaffold_17:17388018-17284316	17388018	17284316	-	1406.7	679	https://v10-1.orthodb.org/?query=16279at50557	Sec23/Sec24, helical domain
16323at50557	Complete	scaffold_6:66381866-66446964	66381866	66446964	+	415.4	419	https://v10-1.orthodb.org/?query=16323at50557	Immunoglobulin-like domain
16683at50557	Complete	scaffold_14:17921169-17898773	17921169	17898773	-	1154.1	683	https://v10-1.orthodb.org/?query=16683at50557	Zinc finger, RING-CH-type
16714at50557	Complete	scaffold_1:11336930-11252379	11336930	11252379	-	712.9	489	https://v10-1.orthodb.org/?query=16714at50557	Lipin, middle domain
17115at50557	Complete	scaffold_8:115542467-115779109	115542467	115779109	+	572.9	420	https://v10-1.orthodb.org/?query=17115at50557	Myotubularin-related 12-like C-terminal domain
17387at50557	Complete	scaffold_15:74752574-74708437	74752574	74708437	-	1171.6	628	https://v10-1.orthodb.org/?query=17387at50557	Hid-1/Ecm30
17536at50557	Complete	scaffold_12:92786998-92920103	92786998	92920103	+	758.7	601	https://v10-1.orthodb.org/?query=17536at50557	Serine proteases, trypsin domain
17610at50557	Complete	scaffold_1:6183713-6249607	6183713	6249607	+	1171.6	627	https://v10-1.orthodb.org/?query=17610at50557	AP-1 complex subunit gamma
17628at50557	Complete	scaffold_6:90483546-90529194	90483546	90529194	+	605.1	427	https://v10-1.orthodb.org/?query=17628at50557	DNA polymerase, Y-family, little finger domain
17638at50557	Complete	scaffold_6:33028147-33181301	33028147	33181301	+	1406.1	823	https://v10-1.orthodb.org/?query=17638at50557	Protein patched/dispatched
17813at50557	Complete	scaffold_6:147405511-147444168	147405511	147444168	+	1327.3	750	https://v10-1.orthodb.org/?query=17813at50557	Protein kinase domain
18170at50557	Complete	scaffold_2:101219571-101293383	101219571	101293383	+	1192.2	875	https://v10-1.orthodb.org/?query=18170at50557	WASH complex, subunit strumpellin
18400at50557	Complete	scaffold_14:54255699-54263474	54255699	54263474	+	985.0	598	https://v10-1.orthodb.org/?query=18400at50557	Far11/STRP, C-terminal
18450at50557	Complete	scaffold_16:75614576-75644402	75614576	75644402	+	1307.2	739	https://v10-1.orthodb.org/?query=18450at50557	Helicase, C-terminal
18453at50557	Complete	scaffold_12:158244559-158346105	158244559	158346105	+	769.4	520	https://v10-1.orthodb.org/?query=18453at50557	Ras guanine-nucleotide exchange factors catalytic domain
18458at50557	Complete	scaffold_5:115066290-114982780	115066290	114982780	-	686.2	528	https://v10-1.orthodb.org/?query=18458at50557	Zinc finger, double-stranded RNA binding
18461at50557	Complete	scaffold_6:118139244-118244368	118139244	118244368	+	999.4	614	https://v10-1.orthodb.org/?query=18461at50557	Suppressor of forked
18561at50557	Complete	scaffold_13:155456818-155492449	155456818	155492449	+	1260.7	672	https://v10-1.orthodb.org/?query=18561at50557	Putative G-protein coupled receptor 158
18575at50557	Complete	scaffold_12:38421230-38496205	38421230	38496205	+	1097.8	775	https://v10-1.orthodb.org/?query=18575at50557	Helicase, C-terminal
18605at50557	Complete	scaffold_8:19659691-19623327	19659691	19623327	-	941.5	567	https://v10-1.orthodb.org/?query=18605at50557	Serine/threonine-protein phosphatase 4 regulatory subunit 3
18619at50557	Complete	scaffold_9:69917843-69891484	69917843	69891484	-	664.8	643	https://v10-1.orthodb.org/?query=18619at50557	G-patch domain
18644at50557	Complete	scaffold_1:78135585-78105316	78135585	78105316	-	830.8	574	https://v10-1.orthodb.org/?query=18644at50557	anaphase-promoting complex subunit 2
18668at50557	Complete	scaffold_2:171866115-171906016	171866115	171906016	+	643.8	360	https://v10-1.orthodb.org/?query=18668at50557	Lipase/vitellogenin
19158at50557	Complete	scaffold_2:184826628-184780638	184826628	184780638	-	735.8	647	https://v10-1.orthodb.org/?query=19158at50557	Pre-mRNA-processing factor 39
19244at50557	Complete	scaffold_1:182368302-182329052	182368302	182329052	-	667.1	519	https://v10-1.orthodb.org/?query=19244at50557	Zinc finger, CCHC-type
19262at50557	Complete	scaffold_12:37074921-37157228	37074921	37157228	+	1053.5	712	https://v10-1.orthodb.org/?query=19262at50557	Integrator complex subunit 3
19276at50557	Complete	scaffold_3:184696649-184653030	184696649	184653030	-	813.1	610	https://v10-1.orthodb.org/?query=19276at50557	Winged helix-like DNA-binding domain superfamily
19336at50557	Duplicated	scaffold_18:12211812-12210601	12211812	12210601	-	502.3	524	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_18:13574783-13575994	13574783	13575994	+	491.6	509	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_18:5356623-5358035	5356623	5358035	+	521.9	548	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_1:142841053-142839887	142841053	142839887	-	460.9	499	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_20:10139087-10137732	10139087	10137732	-	480.3	531	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_20:12946264-12947601	12946264	12947601	+	458.9	544	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_8:43603445-43694703	43603445	43694703	+	453.0	341	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_9:6080859-6079453	6080859	6079453	-	486.4	514	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19336at50557	Duplicated	scaffold_9:6170603-6169527	6170603	6169527	-	485.1	541	https://v10-1.orthodb.org/?query=19336at50557	Zinc finger C2H2-type
19423at50557	Complete	scaffold_2:187304317-187411272	187304317	187411272	+	843.7	538	https://v10-1.orthodb.org/?query=19423at50557	SH3 domain
19653at50557	Complete	scaffold_2:43818366-43989777	43818366	43989777	+	751.7	508	https://v10-1.orthodb.org/?query=19653at50557	Sterol-sensing domain
19754at50557	Complete	scaffold_15:80246741-80210338	80246741	80210338	-	1010.5	687	https://v10-1.orthodb.org/?query=19754at50557	WD40/YVTN repeat-like-containing domain superfamily
20035at50557	Complete	scaffold_9:178180306-178164720	178180306	178164720	-	1030.5	750	https://v10-1.orthodb.org/?query=20035at50557	Peptidase M16, C-terminal
20198at50557	Complete	scaffold_13:140504774-140597192	140504774	140597192	+	359.5	560	https://v10-1.orthodb.org/?query=20198at50557	SCAR/WAVE family
20283at50557	Complete	scaffold_7:60433295-60481419	60433295	60481419	+	929.3	686	https://v10-1.orthodb.org/?query=20283at50557	Symplekin/Pta1, N-terminal
20299at50557	Complete	scaffold_12:115820276-115690439	115820276	115690439	-	604.1	456	https://v10-1.orthodb.org/?query=20299at50557	C2 domain
20375at50557	Complete	scaffold_4:185684366-185705704	185684366	185705704	+	572.0	444	https://v10-1.orthodb.org/?query=20375at50557	Rad4 beta-hairpin domain 1
20404at50557	Complete	scaffold_15:16323063-16371876	16323063	16371876	+	912.8	626	https://v10-1.orthodb.org/?query=20404at50557	SNF2-related, N-terminal domain
20515at50557	Complete	scaffold_12:54410497-54313857	54410497	54313857	-	1086.3	684	https://v10-1.orthodb.org/?query=20515at50557	Aminopeptidase
20640at50557	Complete	scaffold_10:178874616-178646210	178874616	178646210	-	1103.5	711	https://v10-1.orthodb.org/?query=20640at50557	Vinculin/alpha-catenin
20805at50557	Complete	scaffold_3:119091238-119007459	119091238	119007459	-	333.2	351	https://v10-1.orthodb.org/?query=20805at50557	RNA polymerase II assembly factor Rtp1, C-terminal
20817at50557	Complete	scaffold_12:145138726-145176395	145138726	145176395	+	860.3	494	https://v10-1.orthodb.org/?query=20817at50557	WW domain
20997at50557	Complete	scaffold_2:145895362-145850366	145895362	145850366	-	582.7	397	https://v10-1.orthodb.org/?query=20997at50557	MyTH4 domain
21101at50557	Complete	scaffold_6:18666748-18646640	18666748	18646640	-	1398.6	815	https://v10-1.orthodb.org/?query=21101at50557	Eukaryotic translation initiation factor 3 subunit C
21322at50557	Complete	scaffold_4:24273641-24450096	24273641	24450096	+	362.0	324	https://v10-1.orthodb.org/?query=21322at50557	Basic leucine zipper domain, Maf-type
21580at50557	Complete	scaffold_3:158025604-158051080	158025604	158051080	+	971.4	607	https://v10-1.orthodb.org/?query=21580at50557	Exocyst complex component
21787at50557	Complete	scaffold_1:64661650-64391360	64661650	64391360	-	655.0	428	https://v10-1.orthodb.org/?query=21787at50557	Protein-tyrosine phosphatase receptor IA-2 ectodomain
21911at50557	Complete	scaffold_10:173025157-173061938	173025157	173061938	+	790.1	453	https://v10-1.orthodb.org/?query=21911at50557	Polycystin cation channel, PKD1/PKD2
22030at50557	Complete	scaffold_5:152090249-152130973	152090249	152130973	+	692.0	383	https://v10-1.orthodb.org/?query=22030at50557	WD40 repeat
22096at50557	Complete	scaffold_8:114925329-115095483	114925329	115095483	+	945.0	762	https://v10-1.orthodb.org/?query=22096at50557	Importin-beta, N-terminal domain
22300at50557	Complete	scaffold_9:137010552-136982682	137010552	136982682	-	1056.3	560	https://v10-1.orthodb.org/?query=22300at50557	Aminoacyl-tRNA synthetase, class II
22348at50557	Complete	scaffold_12:102159859-102129409	102159859	102129409	-	1126.9	573	https://v10-1.orthodb.org/?query=22348at50557	PAN/Apple domain
22613at50557	Complete	scaffold_4:64406614-64493177	64406614	64493177	+	786.2	700	https://v10-1.orthodb.org/?query=22613at50557	Thrombospondin type-1 (TSP1) repeat
22661at50557	Complete	scaffold_12:33778456-33846232	33778456	33846232	+	466.6	468	https://v10-1.orthodb.org/?query=22661at50557	CCAAT-binding factor
22706at50557	Complete	scaffold_9:75678597-75625651	75678597	75625651	-	707.3	597	https://v10-1.orthodb.org/?query=22706at50557	RINT-1/Tip20
22836at50557	Complete	scaffold_4:4340563-4319443	4340563	4319443	-	892.2	536	https://v10-1.orthodb.org/?query=22836at50557	Autophagy-related protein 9
22862at50557	Complete	scaffold_17:95446497-95473207	95446497	95473207	+	930.7	712	https://v10-1.orthodb.org/?query=22862at50557	Ribosomal RNA methyltransferase, Spb1, C-terminal
23294at50557	Complete	scaffold_5:62321495-62281269	62321495	62281269	-	740.8	473	https://v10-1.orthodb.org/?query=23294at50557	Protein kinase domain
23366at50557	Complete	scaffold_3:155414675-155318908	155414675	155318908	-	898.6	562	https://v10-1.orthodb.org/?query=23366at50557	Vinculin/alpha-catenin
